Index,Error
1,2.978980428365638
2,2.9621826881249325
3,1.966992948686443
4,1.1685436882011602
5,1.0776627586964584
6,1.0048428409864962
7,1.000529738997829
8,0.9994866901627405
9,0.9994583206827321
10,0.9994569247770099
11,0.999460354045463
12,0.9994653170553295
13,0.9921329690847971
14,0.654104286333851
15,0.9300282573632083
16,1.0088257956618152
17,0.9744305925587403
18,0.9749639791764246
19,0.007927003923702793
20,0.00853429750509896
21,0.010521563100290064
22,0.011967006037716985
23,0.01277204009688657
24,0.013147861517747557
25,0.013868229836538815
26,0.014885749630265791
27,0.015817111201178596
28,0.016396273724929415
29,0.0017447600481684243
30,0.0018811823667238177
31,0.0019677356984581437
32,0.002012863785242484
33,0.002057655037771154
34,0.0010373863736413552
35,0.0006722496865418848
