epoch,training,test
0,0.14285714285714285,0.10344827586206896
20,0.125,0.1875
40,0.2727272727272727,0.25
60,0.4000000000000001,0.3
80,0.7,0.4000000000000001
100,0.6,0.3
120,0.6,0.3
140,0.6,0.3
160,0.6,0.20000000000000004
180,0.6,0.20000000000000004
200,0.6,0.20000000000000004
220,0.8000000000000002,0.4000000000000001
240,0.8000000000000002,0.4000000000000001
260,0.8000000000000002,0.4000000000000001
280,0.8000000000000002,0.4000000000000001
300,0.8000000000000002,0.4000000000000001
320,0.8000000000000002,0.4000000000000001
340,0.8000000000000002,0.4000000000000001
360,0.8000000000000002,0.4000000000000001
380,0.8000000000000002,0.4000000000000001
400,0.8000000000000002,0.4000000000000001
420,0.8000000000000002,0.4000000000000001
440,0.7,0.20000000000000004
460,0.7,0.20000000000000004
480,0.7,0.20000000000000004
500,0.7,0.20000000000000004
520,0.7,0.20000000000000004
540,0.7,0.20000000000000004
560,0.7,0.20000000000000004
580,0.7,0.20000000000000004
600,0.7,0.20000000000000004
620,0.7,0.20000000000000004
640,0.7,0.20000000000000004
660,0.7,0.20000000000000004
680,0.7,0.20000000000000004
700,0.7,0.20000000000000004
720,0.7,0.20000000000000004
740,0.7,0.20000000000000004
760,0.7,0.20000000000000004
780,0.7,0.20000000000000004
800,0.7,0.20000000000000004
820,0.7,0.20000000000000004
840,0.7,0.20000000000000004
860,0.7,0.20000000000000004
880,0.6,0.3
900,0.6,0.20000000000000004
920,0.6,0.20000000000000004
940,0.7,0.3
960,0.7,0.3
980,0.7,0.3
