epoch,training,test
0,0.05555555555555555,0.1111111111111111
20,0.16666666666666666,0.21428571428571427
40,0.2,0.18181818181818182
60,0.4,0.25
80,0.2727272727272727,0.36363636363636365
100,0.2727272727272727,0.36363636363636365
120,0.3,0.4
140,0.4,0.2727272727272727
160,0.5,0.4
180,0.6,0.4
200,0.6,0.4
220,0.6,0.36363636363636365
240,0.6,0.36363636363636365
260,0.5,0.4
280,0.5,0.4
300,0.5,0.4
320,0.5,0.4
340,0.5,0.4
360,0.7,0.4
380,0.7,0.4
400,0.7,0.4
420,0.7,0.4
440,0.7,0.4
460,0.7,0.4
480,0.7,0.4
500,0.7,0.4
520,0.7,0.4
540,0.7,0.4
560,0.7,0.4
580,0.7,0.4
600,0.7,0.4
620,0.7,0.4
640,0.7,0.4
660,0.7,0.4
680,0.7,0.4
700,0.7,0.4
720,0.7,0.4
740,0.6,0.36363636363636365
760,0.6,0.36363636363636365
780,0.6,0.36363636363636365
800,0.6,0.5
820,0.6,0.5
840,0.6,0.5
860,0.6,0.5
880,0.6,0.5
900,0.6,0.5
920,0.6,0.5
940,0.6,0.5
960,0.6,0.5
980,0.6,0.5
