Index,Error,Beta
0,1.1094465192026461,0.5
25,1.001952914394409,0.5
50,1.0246777695517257,0.5
75,1.006460571188784,0.5
100,1.0027815717583275,0.5
125,1.00477573236126,0.5
150,1.008693536473391,0.5
175,1.0177445423464384,0.5
200,1.0174451510152995,0.5
225,1.0079087762777694,0.5
250,0.994279077112339,0.5
275,0.9879344636292847,0.5
300,0.9867806772982874,0.5
325,0.9832775679109229,0.5
350,0.971932363762942,0.5
375,0.9660193486337795,0.5
400,0.9716813297677733,0.5
425,0.95004219348672,0.5
450,0.934606669580464,0.5
475,0.9312375958947166,0.5
500,0.9757673037611851,0.5
525,0.9333786172871645,0.5
550,0.9110830375423155,0.5
575,0.8927969713900745,0.5
600,0.9182432933507668,0.5
625,0.9128310183768116,0.5
650,0.8933831628523887,0.5
675,0.8705962937988132,0.5
700,0.8625801694871988,0.5
725,0.8474313501678733,0.5
750,0.8277769222358458,0.5
775,0.8349482613452814,0.5
800,0.8232693088516475,0.5
825,0.8305636584119197,0.5
850,0.8270810202190291,0.5
875,0.808695275360204,0.5
900,0.7890398029390924,0.5
925,0.7659989981239828,0.5
950,0.7522089463597448,0.5
975,0.6951926276754793,0.5
1000,0.6009088789346311,0.5
1025,0.5606807410785797,0.5
1050,0.5103494279310876,0.5
1075,0.4748659508775096,0.5
1100,0.43903508395158675,0.5
1125,0.41549704896258466,0.5
1150,0.3839294609554064,0.5
1175,0.35892258658911713,0.5
1200,0.3386323823625287,0.5
1225,0.3213285312032678,0.5
1250,0.301333401962084,0.5
1275,0.28984201564887746,0.5
1300,0.27273990409230797,0.5
1325,0.2647419861646476,0.5
1350,0.255018827896221,0.5
1375,0.24550451088504965,0.5
1400,0.23089030282781972,0.5
1425,0.22369853942662574,0.5
1450,0.21562398204928546,0.5
1475,0.20711432394845086,0.5
