Index,Error,Beta
0,1.0214212895995098,0.25
25,1.0228288078762562,0.25
50,1.0257442836968402,0.25
75,1.021829710031839,0.25
100,1.0197673965971727,0.25
125,1.0262982990463345,0.25
150,1.0281899761344584,0.25
175,1.0145286659217225,0.25
200,1.020320223457703,0.25
225,1.0217999060347007,0.25
250,1.0206864076338624,0.25
275,1.0146648041001802,0.25
300,1.014094696031955,0.25
325,1.0156402930232666,0.25
350,1.0219036112164528,0.25
375,1.0308966262237325,0.25
400,1.02717103737753,0.25
425,1.0257554603652603,0.25
450,1.02905834446439,0.25
475,1.026111491250238,0.25
500,1.022224658336368,0.25
525,1.025770302472196,0.25
550,1.0366370687038446,0.25
575,1.0279227290009019,0.25
600,1.028302823720162,0.25
625,1.033598739698596,0.25
650,1.0267914616905938,0.25
675,1.0208509205312555,0.25
700,1.021905496360064,0.25
725,1.0211465046905026,0.25
750,1.0144456557216601,0.25
775,1.0086424185990048,0.25
800,1.0060178070319419,0.25
825,1.0132769713207443,0.25
850,1.0144129737502507,0.25
875,1.0132457930697323,0.25
900,1.0082072334602836,0.25
925,1.0123313378708487,0.25
950,1.0132345389624509,0.25
975,1.0091554146747392,0.25
1000,1.0150139723454399,0.25
1025,1.0116824917240095,0.25
1050,1.0104482655246407,0.25
1075,1.0159573467852698,0.25
1100,1.0162426227288064,0.25
1125,1.0161119818401463,0.25
1150,1.0185231159707813,0.25
1175,1.0186559350885707,0.25
1200,1.0180745321935116,0.25
1225,1.0185966540971518,0.25
1250,1.0152927324937562,0.25
1275,1.0162511962428125,0.25
1300,1.0102904001588677,0.25
1325,1.0123370166822134,0.25
1350,1.016321945743409,0.25
1375,1.0166496741422402,0.25
1400,1.0174730666017402,0.25
1425,1.0174175352522343,0.25
1450,1.0183680797843857,0.25
1475,1.0203204421905858,0.25
